,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
2011,-51.7993,-30.847,-100.0,797,440.5277916336747,271,3.93
2006,-51.7993,-30.8469,-98.57142857142857,797,440.9324081891632,273,4.34
2008,-51.7993,-30.8468,-99.5,797,441.61507116859855,274,4.58
2004,-51.7994,-30.8471,-103.8846153846154,797,449.96761119215086,270,3.72
2003,-51.7994,-30.8472,-107.5,797,450.1175925651557,269,3.44
2005,-51.7994,-30.8473,-96.95959595959594,797,450.54042247840636,267,3.05
2007,-51.7995,-30.8474,-109.22222222222223,797,460.7746111645084,266,2.91
2009,-51.7995,-30.8475,-109.5,797,461.72038803500226,264,2.49
2010,-51.7995,-30.8476,-98.83333333333331,797,462.92982225235903,263,2.37
1948,-51.7995,-30.8477,-96.46875,767,464.40085391439203,262,2.14
1946,-51.7996,-30.8478,-99.05,767,475.56387159038786,260,1.82
1945,-51.7996,-30.8479,-99.0,767,477.51102388345424,259,1.65
1947,-51.7996,-30.848000000000006,-100.84482758620688,767,479.7065656377866,258,1.48
1949,-51.7997,-30.8481,-106.02777777777777,767,491.4587301481306,257,1.36
1950,-51.7997,-30.8482,-103.64556962025316,767,494.09001577337267,255,1.1
1955,-51.7997,-30.8483,-97.53097345132744,767,496.9547596964781,254,0.99
1951,-51.7998,-30.8484,-96.09876543209877,767,509.2129002284379,253,0.87
1952,-51.7998,-30.8485,-96.61666666666666,767,512.4729419182875,252,0.78
1953,-51.7998,-30.8486,-102.64935064935064,767,515.9506603542723,251,0.68
1954,-51.7998,-30.8487,-96.38333333333334,767,519.6416851447121,250,0.59
1879,-51.7999,-30.8488,-96.55128205128206,737,532.4729984342329,249,0.48
1885,-51.7999,-30.8489,-96.3875,737,536.5086578264151,248,0.38
1881,-51.7999,-30.849,-95.8,737,540.7415418798637,247,0.31
1882,-51.7999,-30.8491,-96.76595744680851,737,545.1670566408648,246,0.25
1883,-51.8,-30.8492,-98.77777777777777,737,558.4562648865162,245,0.21
