,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
3736,-54.96108,-20.92795,-86.50943396226415,557,209.3959902168354,41,38.18
3737,-54.96105,-20.9279,-90.30769230769229,557,209.68387252507932,39,36.09
3732,-54.96102,-20.92785,-83.39285714285714,557,210.16359782908816,37,35.36
3739,-54.96117,-20.92808,-81.31481481481481,557,210.66616448323197,46,43.06
3741,-54.96099,-20.9278,-81.70833333333333,557,210.83385663410974,35,33.95
3742,-54.96095,-20.92775,-83.78571428571429,557,210.87447973498567,33,33.34
3751,-54.96088,-20.92764,-85.39622641509433,558,213.15040028183495,30,34.43
3613,-54.95753000000001,-20.9298,-92.475,531,213.16010085937484,226,0.71
3608,-54.95769,-20.93005,-87.35483870967742,530,213.3049620256183,216,1.35
3615,-54.95758000000001,-20.92989,-90.45833333333331,531,213.33250782145473,222,0.9
3734,-54.96126999999999,-20.92823,-85.22727272727273,557,213.46927032996834,53,33.43
3745,-54.96086,-20.92761,-79.94736842105263,558,213.86116220545773,29,34.57
3521,-54.95774,-20.93013,-86.53846153846153,500,214.47929659709695,213,1.58
3744,-54.96085,-20.92759,-81.80769230769229,558,214.6242663665805,28,34.48
3743,-54.96131999999999,-20.92831,-88.48148148148148,557,215.3497561480877,57,31.33
3746,-54.96083,-20.92756,-82.37037037037038,558,215.44567112560884,28,34.48
3507,-54.95779,-20.93021,-90.5,500,216.1359189114142,211,1.77
3618,-54.95741999999999,-20.92964,-90.29545454545456,531,216.35735058314214,233,0.36
3735,-54.96136,-20.92838,-88.5357142857143,557,217.00575327777696,61,31.49
3747,-54.96078000000001,-20.92748,-86.22448979591837,558,218.20078697126345,26,35.72
3513,-54.95785,-20.9303,-89.0,500,218.28203080820975,208,2.15
3740,-54.9614,-20.92844,-88.14285714285714,557,219.27298942692116,64,32.6
3738,-54.96143000000001,-20.9285,-82.76470588235293,557,220.7781433238751,67,35.73
3617,-54.95731,-20.92948,-88.77777777777777,531,221.5248167558717,241,0.05
3752,-54.9607,-20.92735,-87.27777777777777,558,223.69485053401007,22,37.3
3733,-54.96147,-20.92855,-86.48148148148148,557,223.74246281010295,70,41.64
3506,-54.95795,-20.93046,-90.05555555555556,500,224.0305084305971,204,2.71
3614,-54.95726,-20.9294,-89.7857142857143,531,224.30113422486085,245,0.06
3748,-54.96064000000001,-20.92727,-86.76923076923076,558,226.95359220913184,21,38.72
3519,-54.958,-20.93054,-90.61111111111113,500,227.5466710339634,202,3.03
3605,-54.96155,-20.92868,-85.45454545454545,527,229.76159253411262,77,37.39
3517,-54.95805,-20.93062,-83.125,500,231.46557151641377,201,3.19
3610,-54.95715,-20.92923,-90.4,531,231.9930568875656,254,0.64
3749,-54.96059,-20.92718,-83.25,558,232.17309726627508,19,35.8
3612,-54.9571,-20.92915,-89.89795918367346,531,236.0550434326371,259,1.22
3750,-54.96054,-20.9271,-83.4090909090909,558,236.8629555708472,17,34.44
3606,-54.96165,-20.92884,-78.7,527,238.71578257878645,85,30.39
3509,-54.95815,-20.93078,-80.4186046511628,500,240.43080208405033,198,3.75
3607,-54.96171,-20.92892,-76.58333333333333,527,244.7595843250381,90,29.7
3520,-54.95821,-20.93086,-81.76470588235293,500,244.9275726239293,196,4.17
3616,-54.957,-20.92899,-96.39285714285714,531,245.27007904444457,267,2.45
3924,-54.96043,-20.92694,-89.86842105263158,588,246.78575586054322,15,32.95
3508,-54.95826,-20.93094,-80.45833333333333,500,250.28618898272208,195,4.39
3620,-54.95694,-20.9289,-99.0,531,251.43436075847842,271,3.05
3609,-54.95689,-20.92882,-99.23076923076924,531,256.89472671533684,275,3.59
3603,-54.96182,-20.9291,-74.70833333333333,527,256.9067363899266,98,28.49
3514,-54.95831,-20.93103,-83.92,500,256.9473551414383,194,4.6
3925,-54.96032,-20.92677,-87.7142857142857,588,259.07459705914783,12,30.4
3516,-54.95837,-20.93111,-78.09523809523809,500,262.4929674806034,192,5.05
3611,-54.95684,-20.92874,-98.6,531,262.64342703297626,279,4.31
3923,-54.96026,-20.92669,-92.54545454545456,588,264.98892656893923,11,29.86
3511,-54.95842,-20.93119,-82.29166666666667,500,268.7371644326594,191,5.27
3604,-54.96193,-20.92927,-75.13636363636364,527,270.30718720293555,105,25.64
3619,-54.95674,-20.92858,-98.36666666666666,531,274.93258683616284,285,5.32
