,Lon,Lat,RSRP,Region,Distance,Bearing,Gain
0,-51.7993,-30.847,-100.0,797,440.5277916336747,271,-48.95346833
1,-51.7993,-30.8469,-98.57142857142856,797,440.9324081892515,273,-48.95388833
2,-51.7993,-30.8468,-99.5,797,441.61507116851027,274,-48.953505
3,-51.7994,-30.8471,-103.8846153846154,797,449.96761119215086,270,-48.95366667
4,-51.7994,-30.8472,-107.5,797,450.1175925648466,269,-48.95384
5,-51.7994,-30.8473,-96.95959595959594,797,450.54042247831796,267,-48.95343333
6,-51.7995,-30.8474,-109.22222222222224,797,460.774611164332,266,-48.95379333
7,-51.7995,-30.8475,-109.5,797,461.72038803500226,264,-48.95375
8,-51.7995,-30.8476,-98.83333333333331,797,462.92982225235914,263,-48.94555167
9,-51.7995,-30.8477,-96.46875,767,464.4008539147452,262,-48.94559833
10,-51.7996,-30.8478,-99.05,767,475.56387159038786,260,-48.94564667
11,-51.7996,-30.8479,-99.0,767,477.51102388380747,259,-48.94816167
12,-51.7996,-30.84800000000001,-100.84482758620688,767,479.7065656377866,258,-48.94819167
13,-51.7997,-30.8481,-106.02777777777776,767,491.4587301481306,257,-48.945695
14,-51.7997,-30.8482,-103.64556962025316,767,494.09001577337267,255,-48.94873833
15,-51.7997,-30.8483,-97.53097345132744,767,496.9547596964781,254,-48.94871833
16,-51.7998,-30.8484,-96.09876543209876,767,509.21290022737844,253,-48.945745
17,-51.7998,-30.8485,-96.61666666666666,767,512.4729419175804,252,-48.94589667
18,-51.7998,-30.8486,-102.64935064935064,767,515.9506603542723,251,-48.946045
19,-51.7998,-30.8487,-96.38333333333334,767,519.6416851443593,250,-48.94614167
20,-51.7999,-30.8488,-96.55128205128206,737,532.4729984345861,249,-48.94624333
21,-51.7999,-30.8489,-96.3875,737,536.5086578264151,248,-48.94635
22,-51.7999,-30.849,-95.8,737,540.7415418798637,247,-48.94640333
23,-51.7999,-30.8491,-96.76595744680851,737,545.167056640864,246,-48.94645833
24,-51.8,-30.8492,-98.77777777777776,737,558.4562648865162,245,-48.94651500000001
25,-51.8,-30.8493,-94.86,737,563.1791482887172,244,-48.94656667
26,-51.8,-30.8494,-97.60204081632654,737,568.0791632490577,243,-48.94663333
27,-51.8,-30.8495,-92.58865248226952,737,573.1517667745516,242,-48.94668833
28,-51.8001,-30.8495,-94.3298969072165,737,581.6361939591394,242,-48.94668833
29,-51.8001,-30.8496,-93.3061224489796,737,586.8010679913359,241,-48.946745
30,-51.8001,-30.8497,-92.24324324324324,737,592.1284945676919,240,-48.94679167
31,-51.7997,-30.8503,-82.52046783625731,707,596.1291665616242,233,-48.95828667
32,-51.7998,-30.8502,-82.39024390243901,707,597.3800795631059,234,-48.95365333
33,-51.8001,-30.8498,-96.10619469026548,737,597.6141264925952,239,-48.95363667
34,-51.7997,-30.8504,-92.93236714975843,707,602.8030272043429,232,-48.96052833
35,-51.7998,-30.8503,-81.51219512195122,707,603.836589450904,233,-48.95828667
36,-51.7999,-30.8502,-80.2356687898089,707,605.2227765764707,235,-48.95718
37,-51.7997,-30.8505,-99.84782608695652,707,609.6054670785168,231,-48.95367
38,-51.8002,-30.8499,-95.91525423728814,707,611.470060346034,239,-48.95363667
39,-51.8,-30.8502,-78.49438202247191,707,613.1143904785373,235,-48.95718
40,-51.8001,-30.8501,-78.56521739130434,707,614.9773094469713,237,-48.939545
41,-51.7997,-30.8506,-93.05844155844156,707,616.5322302118196,230,-48.95824667
42,-51.8002,-30.85,-84.62307692307692,707,617.1821233051606,238,-48.95832667
43,-51.8001,-30.8502,-79.14444444444446,707,621.0530565396548,236,-48.96060333
44,-51.8002,-30.8501,-82.79069767441861,707,623.0391170791255,237,-48.939545
45,-51.7997,-30.8507,-97.04827586206896,707,623.5791736517657,230,-48.95824667
46,-51.7997,-30.8508,-95.96,707,630.7422692874186,229,-48.953695
47,-51.7997,-30.8509,-97.3061224489796,707,638.0176049816966,228,-48.9493
48,-51.7896,-30.8509,-89.19230769230771,713,644.6459719361995,131,-48.94126667
49,-51.7895,-30.8508,-88.29752066115702,713,644.7904585461578,130,-48.95470833
50,-51.7897,-30.851,-94.8953488372093,683,644.8340616843934,133,-48.95752667
51,-51.7997,-30.851,-97.00689655172415,677,645.4013850531055,227,-48.95370333
52,-51.7895,-30.8509,-92.29411764705884,713,651.9090203750883,131,-48.94126667
53,-51.7896,-30.851,-97.4074074074074,683,651.954679310564,132,-48.94964833
54,-51.7894,-30.8508,-83.05263157894737,714,652.1922128272967,130,-48.95470833
55,-51.7897,-30.8511,-90.13888888888889,683,652.3291201523733,133,-48.95752667
56,-51.7997,-30.8511,-93.37878787878788,677,652.8899302005298,227,-48.95370333
57,-51.7898,-30.8512,-88.68539325842697,683,653.0317769153904,135,-48.94118
58,-51.7899,-30.8513,-89.45714285714287,683,654.061591367605,136,-48.96103667
59,-51.79,-30.8514,-84.17142857142858,683,655.4170209622202,137,-48.95488333
60,-51.7893,-30.8508,-82.59504132231405,714,659.6496229609529,129,-48.96102833
